player,position,team,matches_played,starts,minutes_played,90s,goals,assists,goals+assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_passes_received
Tanguy Ndombele,MF,Tottenham,33,28,2091,23.2,3,2,5,3,0,0,3,0,1.6,1.6,1.8,3.4,60,114,58
Reiss Nelson,"FW,MF",Arsenal,2,0,71,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,4,6
Pedro Neto,"FW,MF",Wolves,31,30,2550,28.3,5,6,11,5,0,0,4,0,5.1,5.1,5.4,10.6,154,54,255
Rúben Neves,MF,Wolves,36,31,2675,29.7,5,1,6,2,3,3,8,0,5.1,2.7,1.9,4.6,22,212,25
Eddie Nketiah,FW,Arsenal,17,4,423,4.7,2,1,3,2,0,0,0,0,1.8,1.8,0.6,2.4,6,6,29
Niels Nkounkou,"DF,FW",Everton,2,1,81,0.9,0,0,0,0,0,0,1,0,0,0,0,0,4,2,8
Dan Nlundulu,"FW,MF",Southampton,13,0,111,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,4,13
Mark Noble,MF,West Ham,21,8,712,7.9,0,0,0,0,0,0,1,0,0,0,0.3,0.3,11,25,13
Will Norris,GK,Burnley,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Norwood,MF,Sheffield Utd,32,26,2220,24.7,0,0,0,0,0,0,6,0,0.5,0.5,2,2.4,7,125,19
Jack O'Connell,DF,Sheffield Utd,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
Dara O'Shea,DF,West Brom,28,25,2102,23.4,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,7,62,12
Michael Obafemi,FW,Southampton,4,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,1,5
Denis Odoi,DF,Fulham,3,3,270,3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,5,10,5
Angelo Ogbonna,DF,West Ham,28,28,2492,27.7,3,0,3,3,0,0,5,0,1.7,1.7,0.8,2.5,7,36,3
Robin Olsen,GK,Everton,7,7,630,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Josh Onomah,MF,Fulham,11,4,374,4.2,0,0,0,0,0,0,1,0,0.4,0.4,0,0.4,8,19,14
Divock Origi,FW,Liverpool,9,2,186,2.1,0,0,0,0,0,0,0,0,1.1,1.1,0.2,1.3,5,5,18
Ben Osborn,"MF,DF",Sheffield Utd,24,17,1604,17.8,1,0,1,1,0,0,1,0,1.1,1.1,2,3.2,27,77,100
Owen Otasowie,"MF,FW",Wolves,6,2,187,2.1,0,1,1,0,0,0,1,0,0.5,0.5,0.1,0.6,3,3,7
Alex Oxlade-Chamberlain,"MF,FW",Liverpool,13,2,253,2.8,1,1,2,1,0,0,0,0,0.3,0.3,0.3,0.6,5,20,21
Emerson Palmieri,DF,Chelsea,2,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
Thomas Partey,MF,Arsenal,24,18,1534,17,0,2,2,0,0,0,5,0,1.3,1.3,1,2.4,33,121,18
Rui Patrício,GK,Wolves,37,37,3329,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bailey Peacock-Farrell,GK,Burnley,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee Peltier,DF,West Brom,4,3,229,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4
Nicolas Pépé,FW,Arsenal,29,16,1616,18,10,1,11,9,1,1,1,1,5.8,5,1,6,56,45,199
Matheus Pereira,"MF,FW",West Brom,33,30,2577,28.6,11,6,17,7,4,4,2,1,7.3,4.2,6.3,10.5,79,115,133
Ricardo Pereira,"DF,FW",Leicester City,15,10,959,10.7,0,1,1,0,0,0,3,0,0.3,0.3,0.6,1,20,45,53
