player,position,team,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live_ball_touches,take_ons_attempted,take_ons_succeeded,times_tackled_during_take_on,carries,total_carrying_distance,progressive_carrying_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
Paul Dummett,DF,Newcastle Utd,717,85,367,294,59,5,717,4,3,1,317,1091,621,2,0,9,0,416
Lewis Dunk,DF,Brighton,2511,361,1412,997,114,48,2511,8,6,2,1514,7618,3763,15,0,12,1,1743
Jimmy Dunne,DF,Burnley,194,27,103,72,20,14,194,2,1,1,85,344,43,0,0,1,1,96
Ederson,GK,Manchester City,1174,948,1169,5,0,0,1174,0,0,0,755,3576,2401,0,0,2,0,669
Kyle Edwards,"MF,FW",West Brom,50,0,10,22,19,4,50,4,1,3,28,258,142,2,2,1,1,33
John Egan,DF,Sheffield Utd,1435,207,741,656,50,25,1435,0,0,0,732,4302,2399,9,1,5,1,789
Anthony Elanga,FW,Manchester Utd,84,2,15,33,39,5,84,7,3,4,57,262,68,3,0,8,2,65
Ahmed Elmohamady,DF,Aston Villa,693,36,228,273,195,14,693,3,2,1,314,1108,567,6,1,5,3,374
Mohamed Elneny,MF,Arsenal,1119,59,327,659,138,6,1119,7,4,3,756,3335,1586,15,1,7,4,848
Jonny Evans,DF,Leicester City,2065,247,1093,943,44,18,2065,9,8,1,1251,5620,2951,5,0,5,4,1394
Eberechi Eze,MF,Crystal Palace,1473,22,215,708,591,42,1473,118,64,54,967,6917,3318,70,18,57,37,1042
