rank,player,nation,position,team,age,born,matches_played,starts,minutes_played,ninetys,goals,assists,direct_goal_contributions,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_recieves,goals_per_90,assists_per_90,direct_goal_contributions_per_90,non_penalty_goals_per_90,direct_non_penalty_goal_contributions_per_90,expected_goals_per_90,expected_assisted_goals_per_90,expected_direct_goal_contributions_per_90,non_penalty_expected_goals_per_90,expected_non_penalty_direct_goal_contributions_per_90
362,Mark Noble,eng ENG,MF,West Ham,30,1987,29,28,"2,400",26.7,4,0,4,2,2,2,6,0,2.4,0.8,1.8,2.6,10,143,25,0.15,0,0.15,0.07,0.07,0.09,0.07,0.16,0.03,0.1
363,Allan Nyom,cm CMR,DF,West Brom,29,1988,29,25,"2,310",25.7,0,1,1,0,0,0,7,0,0.1,0.1,1.1,1.2,36,58,71,0,0.04,0.04,0,0.04,0,0.04,0.05,0,0.05
364,Aiden O'Neill,au AUS,MF,Burnley,19,1998,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,
365,Michael Obafemi,ie IRL,FW,Southampton,17,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,0,1,0,0,0,0,0,3.73,0,3.73,3.73,3.73
366,Pedro Obiang,gq EQG,MF,West Ham,25,1992,21,18,"1,563",17.4,2,0,2,2,0,0,3,0,0.4,0.4,0.4,0.8,10,77,10,0.12,0,0.12,0.12,0.12,0.02,0.02,0.04,0.02,0.04
367,Angelo Ogbonna,it ITA,DF,West Ham,29,1988,32,32,"2,880",32,1,0,1,1,0,0,3,0,0.7,0.7,0.5,1.1,4,44,4,0.03,0,0.03,0.03,0.03,0.02,0.01,0.04,0.02,0.04
368,Stefano Okaka,it ITA,FW,Watford,27,1989,15,3,453,5,1,1,2,1,0,0,2,0,1.8,1.8,0.4,2.2,8,10,48,0.2,0.2,0.4,0.2,0.4,0.36,0.07,0.43,0.36,0.43
369,Shinji Okazaki,jp JPN,"FW,MF",Leicester City,31,1986,27,17,"1,324",14.7,6,2,8,6,0,0,2,0,6.7,6.7,2,8.7,19,24,61,0.41,0.14,0.54,0.41,0.54,0.45,0.14,0.59,0.45,0.59
370,Martin Olsson,se SWE,DF,Swansea City,29,1988,36,36,"3,149",35,0,1,1,0,0,0,7,0,0.9,0.9,0.8,1.7,112,87,143,0,0.03,0.03,0,0.03,0.03,0.02,0.05,0.03,0.05
371,Divock Origi,be BEL,FW,Liverpool,22,1995,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,David Ospina,co COL,GK,Arsenal,28,1988,5,4,381,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,Nicolás Otamendi,ar ARG,DF,Manchester City,29,1988,34,33,"2,967",33,4,0,4,4,0,0,9,0,2.7,2.7,0.9,3.6,92,212,8,0.12,0,0.12,0.12,0.12,0.08,0.03,0.11,0.08,0.11
374,Reece Oxford,eng ENG,MF,West Ham,18,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,Alex Oxlade-Chamberlain,eng ENG,DF,Arsenal,23,1993,3,3,241,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,19,16,21,0,0,0,0,0,0.09,0.19,0.29,0.09,0.29
376,Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,23,1993,32,14,"1,493",16.6,3,7,10,3,0,0,3,0,2.2,2.2,3.8,5.9,76,120,122,0.18,0.42,0.6,0.18,0.6,0.13,0.23,0.36,0.13,0.36
377,Mesut Özil,de GER,"MF,FW",Arsenal,28,1988,26,24,"2,163",24,4,8,12,4,0,0,4,0,4.4,4.4,8.7,13.1,136,277,267,0.17,0.33,0.5,0.17,0.5,0.18,0.36,0.55,0.18,0.55
378,Kasey Palmer,jm JAM,"MF,FW",Huddersfield,20,1996,4,1,170,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,4,6,5,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09
379,Emerson Palmieri,it ITA,DF,Chelsea,22,1994,5,3,280,3.1,0,1,1,0,0,0,0,0,0.1,0.1,0,0.2,13,5,23,0,0.32,0.32,0,0.32,0.04,0.01,0.05,0.04,0.05
380,Pedro,es ESP,"MF,FW",Chelsea,30,1987,31,17,"1,523",16.9,4,2,6,4,0,0,1,0,3,3,1.3,4.3,66,56,135,0.24,0.12,0.35,0.24,0.35,0.18,0.07,0.25,0.18,0.25
381,Roberto Pereyra,ar ARG,"MF,FW",Watford,26,1991,32,18,"1,624",18,5,2,7,5,0,0,3,0,3.3,3.3,3,6.3,61,79,112,0.28,0.11,0.39,0.28,0.39,0.18,0.17,0.35,0.18,0.35
382,Ayoze Pérez,es ESP,"MF,FW",Newcastle Utd,24,1993,36,28,"2,492",27.7,8,5,13,8,0,0,3,0,6.2,6.2,4.7,10.9,68,75,178,0.29,0.18,0.47,0.29,0.47,0.22,0.17,0.39,0.22,0.39
383,Matt Phillips,sct SCO,"MF,DF",West Brom,26,1991,30,23,"2,093",23.3,2,2,4,2,0,0,3,0,2.4,2.4,4.1,6.5,85,31,146,0.09,0.09,0.17,0.09,0.17,0.1,0.18,0.28,0.1,0.28
384,Jordan Pickford,eng ENG,GK,Everton,23,1994,38,38,"3,420",38,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
385,Jérémy Pied,fr FRA,DF,Southampton,28,1989,2,2,180,2,0,1,1,0,0,0,0,0,0,0,0.2,0.2,7,13,5,0,0.5,0.5,0,0.5,0.02,0.08,0.1,0.02,0.1
386,Erik Pieters,nl NED,DF,Stoke City,28,1988,31,30,"2,718",30.2,0,1,1,0,0,0,5,0,0.1,0.1,1.5,1.6,35,113,71,0,0.03,0.03,0,0.03,0,0.05,0.05,0,0.05
387,Paul Pogba,fr FRA,MF,Manchester Utd,24,1993,27,25,"2,148",23.9,6,10,16,6,0,0,5,1,7.7,7.7,4.5,12.2,95,250,92,0.25,0.42,0.67,0.25,0.67,0.32,0.19,0.51,0.32,0.51
388,Nick Pope,eng ENG,GK,Burnley,25,1992,35,34,"3,115",34.6,0,0,0,0,0,0,3,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
389,Alex Pritchard,eng ENG,"MF,FW",Huddersfield,24,1993,14,12,998,11.1,1,1,2,1,0,0,1,0,1.2,1.2,1.9,3.1,24,44,70,0.09,0.09,0.18,0.09,0.18,0.11,0.17,0.28,0.11,0.28
390,Sebastian Prödl,at AUT,DF,Watford,30,1987,21,17,"1,570",17.4,0,0,0,0,0,0,5,0,0.6,0.6,0.2,0.9,4,40,2,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
391,Davy Pröpper,nl NED,MF,Brighton,25,1991,35,35,"3,119",34.7,0,4,4,0,0,0,2,1,1.9,1.9,1.4,3.4,20,188,47,0,0.12,0.12,0,0.12,0.06,0.04,0.1,0.06,0.1
392,Marc Pugh,eng ENG,"MF,FW",Bournemouth,30,1987,20,11,985,10.9,0,0,0,0,0,0,2,0,1.3,1.3,0.5,1.9,40,52,103,0,0,0,0,0,0.12,0.05,0.17,0.12,0.17
393,Jason Puncheon,eng ENG,MF,Crystal Palace,31,1986,10,6,645,7.2,0,0,0,0,0,0,5,0,1.2,1.2,0.5,1.7,8,31,19,0,0,0,0,0,0.19,0.07,0.26,0.19,0.26
394,Collin Quaner,de GER,"FW,MF",Huddersfield,26,1991,26,13,"1,280",14.2,0,4,4,0,0,0,4,0,1.4,1.4,2.5,3.9,56,44,85,0,0.28,0.28,0,0.28,0.1,0.18,0.28,0.1,0.28
395,Sandro Ramírez,es ESP,"FW,MF",Everton,22,1995,8,3,278,3.1,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1,8,21,0,0,0,0,0,0.15,0.01,0.16,0.15,0.16
396,Aaron Ramsey,wls WAL,MF,Arsenal,26,1990,24,21,"1,846",20.5,7,8,15,7,0,0,0,0,6.1,6.1,5.4,11.5,61,134,161,0.34,0.39,0.73,0.34,0.73,0.3,0.26,0.56,0.3,0.56
397,Àngel Rangel,es ESP,DF,Swansea City,34,1982,4,2,156,1.7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,6,11,11,0,0,0,0,0,0,0.04,0.04,0,0.04
398,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,19,1997,35,17,"1,813",20.1,7,5,12,7,0,0,3,0,5.2,5.2,3.8,9,82,46,160,0.35,0.25,0.6,0.35,0.6,0.26,0.19,0.45,0.26,0.45
399,Nathan Redmond,eng ENG,"FW,MF",Southampton,23,1994,31,22,"1,945",21.6,1,3,4,1,0,0,3,0,2.2,2.2,3.6,5.8,84,94,182,0.05,0.14,0.19,0.05,0.19,0.1,0.17,0.27,0.1,0.27
400,Winston Reid,nz NZL,DF,West Ham,29,1988,17,17,"1,452",16.1,0,0,0,0,0,0,5,0,0.3,0.3,0.3,0.5,3,39,6,0,0,0,0,0,0.02,0.02,0.03,0.02,0.03
401,Declan Rice,eng ENG,"DF,MF",West Ham,18,1999,26,15,"1,430",15.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,18,36,6,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
402,Richarlison,br BRA,"FW,MF",Watford,20,1997,38,32,"2,823",31.4,5,4,9,5,0,0,4,0,10.3,10.3,3.4,13.7,126,73,306,0.16,0.13,0.29,0.16,0.29,0.33,0.11,0.44,0.33,0.44
403,Jaïro Riedewald,nl NED,"MF,DF",Crystal Palace,20,1996,12,4,442,4.9,0,0,0,0,0,0,0,0,0,0,0,0,2,16,7,0,0,0,0,0,0.01,0,0.01,0.01,0.01
404,Matt Ritchie,sct SCO,"MF,FW",Newcastle Utd,27,1989,35,32,"2,804",31.2,3,5,8,3,0,0,6,0,3.1,3.1,6,9.1,53,93,139,0.1,0.16,0.26,0.1,0.26,0.1,0.19,0.29,0.1,0.29
405,Connor Roberts,wls WAL,DF,Swansea City,21,1995,4,3,268,3,0,0,0,0,0,0,0,0,0,0,0,0,3,11,10,0,0,0,0,0,0,0,0,0,0
406,Andrew Robertson,sct SCO,DF,Liverpool,23,1994,22,22,"1,940",21.6,1,5,6,1,0,0,2,0,0.5,0.5,4.1,4.7,76,150,214,0.05,0.23,0.28,0.05,0.28,0.03,0.19,0.22,0.03,0.22
407,Hal Robson-Kanu,wls WAL,"FW,MF",West Brom,28,1989,21,8,827,9.2,2,0,2,2,0,0,2,1,2.4,2.4,0.4,2.8,17,24,63,0.22,0,0.22,0.22,0.22,0.26,0.04,0.31,0.26,0.31
408,Jay Rodriguez,eng ENG,"FW,MF",West Brom,28,1989,37,31,"2,812",31.2,7,1,8,6,1,1,2,0,8.4,7.6,1.6,9.2,47,52,166,0.22,0.03,0.26,0.19,0.22,0.27,0.05,0.32,0.24,0.3
409,Marcos Rojo,ar ARG,DF,Manchester Utd,27,1990,9,8,640,7.1,0,0,0,0,0,0,6,0,0.2,0.2,0.1,0.2,3,13,1,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
410,Sergio Romero,ar ARG,GK,Manchester Utd,30,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,Oriol Romeu,es ESP,MF,Southampton,25,1991,34,34,"2,897",32.2,1,0,1,1,0,0,11,0,2.6,2.6,1.4,4,44,201,16,0.03,0,0.03,0.03,0.03,0.08,0.04,0.13,0.08,0.13
412,Salomón Rondón,ve VEN,FW,West Brom,27,1989,36,32,"2,767",30.7,7,3,10,7,0,0,4,0,7,7,2.8,9.8,45,66,201,0.23,0.1,0.33,0.23,0.33,0.23,0.09,0.32,0.23,0.32
413,Wayne Rooney,eng ENG,"MF,FW",Everton,31,1985,31,27,"2,268",25.2,10,2,12,7,3,6,5,0,8.6,3.8,2.2,6,26,122,91,0.4,0.08,0.48,0.28,0.36,0.34,0.09,0.43,0.15,0.24
414,Danny Rose,eng ENG,DF,Tottenham,27,1990,10,9,800,8.9,0,1,1,0,0,0,4,0,0.6,0.6,0.6,1.2,36,56,77,0,0.11,0.11,0,0.11,0.07,0.07,0.14,0.07,0.14
415,Liam Rosenior,eng ENG,DF,Brighton,33,1984,3,1,164,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,5,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03
416,Wayne Routledge,eng ENG,"MF,FW",Swansea City,32,1985,15,4,429,4.8,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,9,17,36,0,0,0,0,0,0.09,0.09,0.17,0.09,0.17
417,Antonio Rüdiger,de GER,DF,Chelsea,24,1993,27,25,"2,338",26,2,1,3,2,0,0,4,0,1.7,1.7,0.4,2.1,33,121,7,0.08,0.04,0.12,0.08,0.12,0.07,0.01,0.08,0.07,0.08
418,Mathew Ryan,au AUS,GK,Brighton,25,1992,38,38,"3,420",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,Abdelhamid Sabiri,ma MAR,MF,Huddersfield,20,1996,5,2,220,2.4,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,2,13,8,0,0.41,0.41,0,0.41,0.11,0.06,0.17,0.11,0.17
420,Henri Saivet,sn SEN,MF,Newcastle Utd,26,1990,1,1,83,0.9,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,0,1,0,1.08,0,1.08,1.08,1.08,0.05,0,0.05,0.05,0.05
421,Diafra Sakho,sn SEN,FW,West Ham,27,1989,14,0,306,3.4,2,0,2,2,0,0,2,0,1.4,1.4,0.1,1.5,4,6,22,0.59,0,0.59,0.59,0.59,0.42,0.02,0.43,0.42,0.43
422,Mamadou Sakho,fr FRA,DF,Crystal Palace,27,1990,19,18,"1,600",17.8,1,2,3,1,0,0,1,0,1.2,1.2,1.1,2.3,4,43,3,0.06,0.11,0.17,0.06,0.17,0.07,0.06,0.13,0.07,0.13
423,Bakary Sako,ml MLI,"FW,MF",Crystal Palace,29,1988,16,4,478,5.3,3,0,3,3,0,0,0,0,1.9,1.9,1.1,3,20,8,43,0.56,0,0.56,0.56,0.56,0.36,0.2,0.56,0.36,0.56
424,Mohamed Salah,eg EGY,FW,Liverpool,25,1992,36,34,"2,907",32.3,32,10,42,31,1,2,1,0,24.1,22.6,7.5,30.1,95,97,393,0.99,0.31,1.3,0.96,1.27,0.75,0.23,0.98,0.7,0.93
425,Renato Sanches,pt POR,MF,Swansea City,19,1997,12,9,702,7.8,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.8,32,45,33,0,0,0,0,0,0.06,0.04,0.1,0.06,0.1
426,Alexis Sánchez,cl CHI,"MF,FW",Arsenal,28,1988,19,17,"1,503",16.7,7,3,10,6,1,1,4,0,8.1,7.3,4.9,12.2,50,149,218,0.42,0.18,0.6,0.36,0.54,0.49,0.29,0.78,0.44,0.73
427,Alexis Sánchez,cl CHI,"FW,MF",Manchester Utd,28,1988,12,12,"1,043",11.6,2,3,5,2,0,1,1,0,2.7,1.8,2.4,4.3,29,70,102,0.17,0.26,0.43,0.17,0.43,0.23,0.21,0.44,0.16,0.37
428,Davinson Sánchez,co COL,DF,Tottenham,21,1996,31,29,"2,534",28.2,0,0,0,0,0,0,1,1,0.5,0.5,0.1,0.7,8,82,2,0,0,0,0,0,0.02,0,0.02,0.02,0.02
429,Leroy Sané,de GER,FW,Manchester City,21,1996,32,27,"2,419",26.9,10,15,25,10,0,0,4,0,5.8,5.8,6.8,12.5,102,68,416,0.37,0.56,0.93,0.37,0.93,0.21,0.25,0.47,0.21,0.47
430,Ezequiel Schelotto,it ITA,DF,Brighton,28,1989,20,15,"1,318",14.6,0,0,0,0,0,0,3,0,0.2,0.2,0.6,0.8,37,48,53,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06
431,Christopher Schindler,de GER,DF,Huddersfield,27,1990,37,37,"3,265",36.3,0,1,1,0,0,0,7,2,1.1,1.1,2.3,3.4,11,80,6,0,0.03,0.03,0,0.03,0.03,0.06,0.09,0.03,0.09
432,Jeffrey Schlupp,gh GHA,"DF,MF",Crystal Palace,24,1992,24,21,"1,745",19.4,0,1,1,0,0,0,3,0,1.2,1.2,1,2.2,32,74,51,0,0.05,0.05,0,0.05,0.06,0.05,0.12,0.06,0.12
433,Kasper Schmeichel,dk DEN,GK,Leicester City,30,1986,33,33,"2,965",32.9,0,0,0,0,0,0,3,0,0,0,0.1,0.1,0,6,0,0,0,0,0,0,0,0,0,0,0
434,Morgan Schneiderlin,fr FRA,MF,Everton,27,1989,30,24,"2,130",23.7,0,0,0,0,0,0,5,2,0.4,0.4,0.2,0.6,15,106,8,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
435,Xherdan Shaqiri,ch SUI,"MF,FW",Stoke City,25,1991,36,36,"3,039",33.8,8,7,15,8,0,1,5,0,5,4.2,7.1,11.3,81,161,183,0.24,0.21,0.44,0.24,0.44,0.15,0.21,0.36,0.12,0.33
436,Luke Shaw,eng ENG,DF,Manchester Utd,22,1995,11,8,790,8.8,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,34,48,35,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09
437,Ryan Shawcross,eng ENG,DF,Stoke City,29,1987,27,27,"2,371",26.3,1,1,2,1,0,0,2,0,2.5,2.5,0.3,2.8,5,46,9,0.04,0.04,0.08,0.04,0.08,0.09,0.01,0.11,0.09,0.11
438,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,25,1992,30,25,"2,270",25.2,1,3,4,1,0,0,3,3,2.4,2.4,2.5,4.9,31,183,23,0.04,0.12,0.16,0.04,0.16,0.09,0.1,0.19,0.09,0.19
439,Gylfi Sigurðsson,is ISL,"MF,FW",Everton,27,1989,27,25,"2,259",25.1,4,3,7,4,0,0,2,0,3,3,3.9,6.9,29,77,110,0.16,0.12,0.28,0.16,0.28,0.12,0.16,0.28,0.12,0.28
440,Adrien Silva,pt POR,MF,Leicester City,28,1989,12,9,761,8.5,0,1,1,0,0,0,3,0,0.3,0.3,0.8,1.1,12,55,15,0,0.12,0.12,0,0.12,0.04,0.1,0.14,0.04,0.14
441,Bernardo Silva,pt POR,"FW,MF",Manchester City,22,1994,35,15,"1,533",17,6,4,10,6,0,0,0,0,3.8,3.5,2.8,6.3,80,80,218,0.35,0.23,0.59,0.35,0.59,0.22,0.16,0.39,0.2,0.37
442,David Silva,es ESP,MF,Manchester City,31,1986,29,28,"2,430",27,9,11,20,9,0,0,5,0,7.2,7.2,8.4,15.6,158,337,247,0.33,0.41,0.74,0.33,0.74,0.27,0.31,0.58,0.27,0.58
443,Danny Simpson,eng ENG,DF,Leicester City,30,1987,28,27,"2,306",25.6,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,11,54,47,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01
444,Jack Simpson,eng ENG,DF,Bournemouth,20,1996,1,1,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,Josh Sims,eng ENG,"FW,MF",Southampton,20,1997,6,1,163,1.8,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,10,4,17,0,0,0,0,0,0.34,0.07,0.41,0.34,0.41
446,Jerome Sinclair,eng ENG,"MF,FW",Watford,20,1996,4,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0.13,0.13,0,0.13
447,Moussa Sissoko,fr FRA,"MF,FW",Tottenham,27,1989,32,15,"1,386",15.4,1,1,2,1,0,0,3,0,2.2,2.2,2.2,4.4,50,85,102,0.06,0.06,0.13,0.06,0.13,0.14,0.14,0.28,0.14,0.28
448,Islam Slimani,dz ALG,FW,Leicester City,29,1988,12,2,249,2.8,1,1,2,1,0,0,0,0,1.5,1.5,0.2,1.7,5,7,25,0.36,0.36,0.72,0.36,0.72,0.55,0.07,0.63,0.55,0.63
449,Islam Slimani,dz ALG,FW,Newcastle Utd,29,1988,4,1,132,1.5,0,0,0,0,0,0,1,0,0,0,0.4,0.4,3,2,19,0,0,0,0,0,0,0.28,0.28,0,0.28
450,Chris Smalling,eng ENG,DF,Manchester Utd,27,1989,29,28,"2,536",28.2,4,0,4,4,0,0,4,0,1.7,1.7,0.2,2,5,37,8,0.14,0,0.14,0.14,0.14,0.06,0.01,0.07,0.06,0.07
451,Adam Smith,eng ENG,"DF,MF",Bournemouth,26,1991,27,22,"2,071",23,1,3,4,1,0,0,6,0,0.5,0.5,1.6,2.1,56,90,99,0.04,0.13,0.17,0.04,0.17,0.02,0.07,0.09,0.02,0.09
452,Tommy Smith,eng ENG,DF,Huddersfield,25,1992,24,21,"1,904",21.2,0,1,1,0,0,0,7,0,0.2,0.2,1.8,2,36,56,86,0,0.05,0.05,0,0.05,0.01,0.09,0.09,0.01,0.09
453,Cédric Soares,pt POR,DF,Southampton,25,1991,32,32,"2,794",31,0,3,3,0,0,0,3,0,0.7,0.7,3.1,3.9,52,139,151,0,0.1,0.1,0,0.1,0.02,0.1,0.12,0.02,0.12
454,Ramadan Sobhi,eg EGY,"MF,FW",Stoke City,20,1997,24,12,"1,238",13.8,2,0,2,2,0,0,2,0,1.2,1.2,1,2.2,58,38,102,0.15,0,0.15,0.15,0.15,0.09,0.07,0.16,0.09,0.16
455,Dominic Solanke,eng ENG,FW,Liverpool,19,1997,21,5,596,6.6,1,1,2,1,0,0,0,0,3.5,3.5,2.6,6.1,15,15,48,0.15,0.15,0.3,0.15,0.3,0.53,0.4,0.92,0.53,0.92
456,Pape Souaré,sn SEN,DF,Crystal Palace,27,1990,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,Julián Speroni,ar ARG,GK,Crystal Palace,38,1979,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,Kostas Stafylidis,gr GRE,"DF,MF",Stoke City,23,1993,5,4,335,3.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,3,8,3,0,0,0,0,0,0.03,0.01,0.05,0.03,0.05
459,Junior Stanislas,eng ENG,"MF,FW",Bournemouth,27,1989,19,17,"1,286",14.3,5,2,7,4,1,1,1,0,3.9,3.1,1.9,5,36,63,100,0.35,0.14,0.49,0.28,0.42,0.27,0.13,0.4,0.22,0.35
460,Dale Stephens,eng ENG,MF,Brighton,28,1989,36,36,"3,240",36,0,3,3,0,0,0,6,0,1.2,1.2,2.3,3.5,31,191,13,0,0.08,0.08,0,0.08,0.03,0.06,0.1,0.03,0.1
461,Jack Stephens,eng ENG,DF,Southampton,23,1994,22,22,"1,980",22,2,0,2,2,0,0,6,1,1.3,1.3,0.2,1.6,24,45,14,0.09,0,0.09,0.09,0.09,0.06,0.01,0.07,0.06,0.07
462,Raheem Sterling,eng ENG,FW,Manchester City,22,1994,33,29,"2,587",28.7,18,11,29,17,1,1,4,2,16.2,15.3,7.3,22.6,116,94,410,0.63,0.38,1.01,0.59,0.97,0.56,0.25,0.82,0.53,0.79
463,John Stones,eng ENG,DF,Manchester City,23,1994,18,16,"1,302",14.5,0,0,0,0,0,0,0,0,0.8,0.8,0,0.8,11,71,7,0,0,0,0,0,0.05,0,0.05,0.05,0.05
464,Daniel Sturridge,eng ENG,FW,West Brom,27,1989,6,2,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,3,6,8,0,0,0,0,0,0.1,0.17,0.27,0.1,0.27
465,Daniel Sturridge,eng ENG,FW,Liverpool,27,1989,9,5,431,4.8,2,1,3,2,0,0,0,0,2.3,2.3,0.8,3.2,11,16,53,0.42,0.21,0.63,0.42,0.63,0.49,0.17,0.66,0.49,0.66
466,Ki Sung-yueng,kr KOR,MF,Swansea City,28,1989,25,21,"1,868",20.8,2,2,4,2,0,0,2,0,0.9,0.9,1.5,2.4,17,64,30,0.1,0.1,0.19,0.1,0.19,0.05,0.07,0.12,0.05,0.12
467,Andrew Surman,eng ENG,MF,Bournemouth,30,1986,25,20,"1,856",20.6,2,5,7,2,0,0,2,0,1.2,1.2,1,2.2,10,134,14,0.1,0.24,0.34,0.1,0.34,0.06,0.05,0.11,0.06,0.11
468,Markus Suttner,at AUT,DF,Brighton,30,1987,14,13,"1,179",13.1,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,17,56,32,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
469,Lasse Sørensen,dk DEN,MF,Stoke City,17,1999,1,1,75,0.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2,0,0,0,0,0,0,0,0.18,0.18,0,0.18
470,Alexander Sørloth,no NOR,FW,Crystal Palace,21,1995,4,4,360,4,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,13,7,24,0,0,0,0,0,0.13,0.12,0.25,0.13,0.25
471,Dušan Tadić,rs SRB,"MF,FW",Southampton,28,1988,36,34,"2,791",31,6,3,9,5,1,1,4,0,5.8,5,5.7,10.7,113,167,312,0.19,0.1,0.29,0.16,0.26,0.19,0.18,0.37,0.16,0.35
472,Matt Targett,eng ENG,DF,Southampton,21,1995,2,2,166,1.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,5,6,0,0,0,0,0,0,0.06,0.06,0,0.06
473,James Tarkowski,eng ENG,DF,Burnley,24,1992,31,31,"2,790",31,0,0,0,0,0,0,5,0,1.4,1.4,0.8,2.2,5,59,8,0,0,0,0,0,0.05,0.03,0.07,0.05,0.07
474,Charlie Taylor,eng ENG,DF,Burnley,23,1993,11,10,950,10.6,0,0,0,0,0,0,3,0,0,0,0.2,0.2,19,23,21,0,0,0,0,0,0,0.02,0.02,0,0.02
475,James Tomkins,eng ENG,DF,Crystal Palace,28,1989,28,27,"2,387",26.5,3,0,3,3,0,0,8,0,2.2,2.2,0.1,2.3,6,45,3,0.11,0,0.11,0.11,0.11,0.08,0,0.09,0.08,0.09
476,Cenk Tosun,tr TUR,FW,Everton,26,1991,14,12,986,11,5,0,5,5,0,0,0,0,2.8,2.8,1.4,4.2,9,9,69,0.46,0,0.46,0.46,0.46,0.25,0.13,0.38,0.25,0.38
477,Yaya Touré,ci CIV,MF,Manchester City,34,1983,10,1,236,2.6,0,2,2,0,0,0,1,0,0.4,0.4,0.9,1.3,20,50,4,0,0.76,0.76,0,0.76,0.14,0.35,0.49,0.14,0.49
478,Andros Townsend,eng ENG,"FW,MF",Crystal Palace,26,1991,36,35,"3,120",34.7,2,7,9,2,0,0,3,0,3,3,7.2,10.2,161,104,249,0.06,0.2,0.26,0.06,0.26,0.09,0.21,0.3,0.09,0.3
479,Kieran Trippier,eng ENG,DF,Tottenham,26,1990,24,21,"1,914",21.3,0,5,5,0,0,0,1,0,0.4,0.4,4.2,4.6,37,114,195,0,0.24,0.24,0,0.24,0.02,0.2,0.22,0.02,0.22
480,Axel Tuanzebe,eng ENG,FW,Manchester Utd,19,1997,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,Josh Tymon,eng ENG,DF,Stoke City,18,1999,3,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,0,0,0,0,0,0,0,0,0,0
