player,position,team,goals,shots,shots_on_target,goals/shots,goals/shots_on_target,average_shot_distance,shots_from_free_kicks,shots_from_penalties,non_penalty_expected_goals/shots,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
Luke Shaw,DF,Manchester Utd,11,5,0,0,18.2,0,0,0,0.06,-0.7,-0.7
Billy Sharp,FW,Sheffield Utd,16,7,0.19,0.43,9.6,0,0,0,0.24,-0.8,-0.8
Xherdan Shaqiri,"FW,MF",Liverpool,4,1,0.25,1,20.4,0,0,0,0.13,0.5,0.5
Ryan Sessegnon,"DF,FW",Tottenham,1,0,0,,17,0,0,0,0.07,-0.1,-0.1
Morgan Schneiderlin,MF,Everton,6,0,0,,21.4,0,0,0,0.04,-0.2,-0.2
Kasper Schmeichel,GK,Leicester City,1,0,0,,56.1,1,0,0,0.02,0,0
Jeffrey Schlupp,"FW,MF",Crystal Palace,18,9,0.17,0.33,18.7,0,0,0,0.1,1.3,1.3
Ezequiel Schelotto,DF,Brighton,4,1,0,0,11.3,0,0,0,0.06,-0.2,-0.2
Fabian Schär,"DF,MF",Newcastle Utd,20,6,0.1,0.33,21.4,1,0,0,0.07,0.6,0.6
Ismaila Sarr,"FW,MF",Watford,44,13,0.11,0.38,15.8,0,0,0,0.14,-1.1,-1.1
Leroy Sané,FW,Manchester City,2,0,0,,26.5,1,0,0,0.06,-0.1,-0.1
Davinson Sánchez,DF,Tottenham,7,3,0,0,10.9,0,0,0,0.09,-0.6,-0.6
Carlos Sánchez,MF,West Ham,0,0,,,,0,0,0,,0,0
Mbwana Samatta,FW,Aston Villa,17,3,0.06,0.33,10.8,0,0,0,0.14,-1.3,-1.3
Mohamed Salah,FW,Liverpool,129,56,0.12,0.29,15,4,3,3,0.13,0,-0.6
Mamadou Sakho,DF,Crystal Palace,0,0,,,,0,0,0,,0,0
Bukayo Saka,"DF,FW",Arsenal,13,4,0.08,0.25,17.9,0,0,0,0.07,0,0
Romain Saïss,DF,Wolves,24,8,0.08,0.25,13.1,2,0,0,0.14,-1.4,-1.4
Allan Saint-Maximin,"MF,FW",Newcastle Utd,46,21,0.07,0.14,22.5,0,0,0,0.07,-0.3,-0.3
Mathew Ryan,GK,Brighton,0,0,,,,0,0,0,,0,0
Lukas Rupp,"FW,MF",Norwich City,4,2,0,0,17.7,0,0,0,0.21,-0.9,-0.9
Antonio Rüdiger,DF,Chelsea,12,3,0.17,0.67,13.6,0,0,0,0.07,1.1,1.1
Danny Rose,DF,Newcastle Utd,0,0,,,,0,0,0,,0,0
Danny Rose,DF,Tottenham,2,0,0,,19,0,0,0,0.04,-0.1,-0.1
Oriol Romeu,MF,Southampton,8,0,0,,23.7,0,0,0,0.03,-0.2,-0.2
Marcos Rojo,DF,Manchester Utd,1,0,0,,6.7,0,0,0,0.2,-0.2,-0.2
Jack Rodwell,MF,Sheffield Utd,0,0,,,,0,0,0,,0,0
Jay Rodriguez,FW,Burnley,66,26,0.11,0.27,17.6,0,1,1,0.12,-0.8,-1
Rodri,MF,Manchester City,24,9,0.13,0.33,20.1,0,0,0,0.04,2.1,2.1
Jack Robinson,DF,Sheffield Utd,0,0,,,,0,0,0,,0,0
